Carrera que cursa,Modalidad de estudios,Semestre que cursa,Edad,Género,Estado civil,Lugar de residencia,¿Con quién vives?,¿Dependes económicamente de alguien?,¿De quién dependes económicamente?,¿Quién más depende del jefe del hogar?,Ingreso promedio mensual del hogar,¿Cuánto recibes tú a la semana?,¿Tienes beca (dependiente)?,¿Qué tipo de beca tienes (dependiente)?,Monto mensual de la beca (dependiente),¿Cuál es tu principal sustento económico?,¿Tienes beca (independiente)?,¿Qué tipo de beca tienes (independiente)?,Monto mensual de la beca (independiente),¿Eres estudiante foráneo o local?,¿Con quién vives (local)?,Número de personas en tu hogar (local),¿Cómo te desplazas hasta la escuela?,¿Sueles cocinar en casa o comprar comida preparada?,¿Cuánto gastas en promedio a la semana en alimentos (cocinar)?,¿Cuánto gastas en promedio semanal en comida (comprar)?,¿Tienes algún tipo de respaldo económico en caso de perder ingresos?,Si perdieras tu principal sustento económico, ¿continuarías estudiando?,¿Cuántas veces al día sueles comer?,¿Tienes horarios regulares para tus comidas principales?,¿Con qué frecuencia te saltas una comida principal?,¿Incluyes snacks o bocadillos entre tus comidas principales?,¿Cuántas veces al día consumes comida preparada en casa?,¿Cuántas veces a la semana compras comida preparada o comes fuera de casa?,¿Consideras que la cantidad de alimentos que consumes es suficiente para tus necesidades?,¿Crees que la calidad de tus comidas es adecuada para mantener una dieta balanceada?,¿Por qué razón no consumes una cantidad adecuada de comidas al día?,¿Cómo describirías tu situación de vivienda...?,ELCSA 26,ELCSA 27,ELCSA 28,ELCSA 29,ELCSA 30,ELCSA 31,ELCSA 32,ELCSA 33,ELCSA 34,ELCSA 35,ELCSA 36,ELCSA 37,ELCSA 38,ELCSA 39,ELCSA 40,¿Cuál fue tu promedio general del semestre anterior?,¿Llevas materias de repite?,¿Has experimentado dificultades académicas...?,Describe brevemente cómo ha afectado tu situación a tu rendimiento académico
Ingeniería en Gestión Empresarial,Escolarizado,séptimo,23,Masculino,Soltero(a),Ciudad,Solo(a),Sí,Madre,Hermanos(as),"Menos de $5,000","$501 - $1,000",No,,,,,,,No,,,,,No,,Foráneo,Rentas,Departamento,No,,"$1,001 - $2,000",,,,,,,Comprar comida preparada,,$301 - $500,Sí,No,2 veces al día,Rara vez,Rara vez,No,1 vez al día,1-2 veces a la semana,Rara vez,Rara vez,Falta de tiempo ,Satisfecho(a),Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,80 - 89,No,No,
Ingeniería Electromecánica,Escolarizado,tercero,19,Masculino,Soltero(a),Ciudad,Con padres,Sí,Ambos padres,Hermanos(as),"$10,001 - $15,000","$501 - $1,000",No,,,,,,,Sí,Rancho,7-8 horas,1-2 días,"Menos de $5,000",No,,Foráneo,Viajas diariamente,,,,,Menos de $200,Menos de 30 minutos,Autobús,,,,Cocinar en casa,Menos de $300,,Sí,No estoy seguro(a),2 veces al día,A veces,Rara vez,No,3 veces al día,Nunca,Siempre,A veces,Falta de tiempo,Muy satisfecho(a),No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,70 - 79,No,No,
Contabilidad,Escolarizado,séptimo,22,Femenino,Soltero(a),Ciudad,Con padres,Sí,Ambos padres,Hermanos(as),"$5,001 - $10,000",Menos de $500,No,,,,,,,No,,,,,No,,Local,,,,,,,,,Ambos padres,3-4 personas,Caminando,Cocinar en casa,Más de $700,,Sí,Sí,3 veces al día,Siempre,Rara vez,"Sí, 1 vez al día",3 veces al día,1-2 veces a la semana,Siempre,Siempre,Falta de tiempo,Satisfecho(a),Sí,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,80 - 89,No,No,
Ingeniería en Gestión Empresarial,Escolarizado,tercero,20,Masculino,Soltero(a),Comunidad,Solo(a),Sí,Padre,Nadie más,"Más de $15,000","$501 - $1,000",No,,,,,,,No,,,,,No,,Foráneo,Rentas,Cuarto,No,,"$1,001 - $2,000",,,,,,,Comprar comida preparada,,$301 - $500,Sí,Sí,Menos de 2 veces al día,Nunca,Siempre,No,1 vez al día,3-4 veces a la semana,A veces,Rara vez,Falta de tiempo,Muy satisfecho(a),No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,90 - 100,No,No,
Ingeniería Industrial,Escolarizado,séptimo,22,Masculino,Soltero(a),Ciudad,Con padres,Sí,Ambos padres,Abuelos(as),"$5,001 - $10,000","$501 - $1,000",No,,,,,,,No,,,,,No,,Foráneo,Rentas,Casa,No,,"$1,001 - $2,000",,,,,,,Comprar comida preparada,,$501 - $700,No,No,3 veces al día,Nunca,A veces,"Sí, 1 vez al día",1 vez al día,5-6 veces a la semana,Frecuentemente,Nunca,Falta de tiempo ,Satisfecho(a),Sí,No sé,No,No,No,No,No,No,No,,,,,,,,70 - 79,No,No,
Ingeniería Electromecánica,Escolarizado,séptimo,21,Masculino,Soltero(a),Ciudad,Con padres,Sí,Ambos padres,Hermanos(as),"$5,001 - $10,000","$501 - $1,000",No,,,,,,,No,,,,,No,,Foráneo,Rentas,Cuarto,No,,"$1,001 - $2,000",,,,,,,Cocinar en casa,Más de $700,,No,No,2 veces al día,A veces,Frecuentemente,No,Ninguna,1-2 veces a la semana,Nunca,Siempre,Falta de tiempo,Neutral,Sí,Sí,Sí,No,No sé,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,80 - 89,No,Sí,Por falta de organización y falta de tiempo es más propenso a mal alimentarse
Ingeniería en Sistemas Computacionales,Escolarizado,tercero,21,Masculino,Soltero(a),Ciudad,Otros,Sí,Otros familiares,Hermanos(as),"$5,001 - $10,000","$1,001 - $1,500",No,,,,,,,No,,,,,No,,Local,,,,,,,,,Otros familiares,5-6 personas,Taxi,Cocinar en casa,$501 - $700,,No,Sí,2 veces al día,Nunca,Siempre,No,1 vez al día,5-6 veces a la semana,Nunca,Nunca,Falta de tiempo,Satisfecho(a),Sí,No,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,No,No,70 - 79,No,No,
Ingeniería en Gestión Empresarial,Flexible,quinto,30,Femenino,Soltero(a),Localidad,Con madre,No,,,,,,,,Trabajo,No,,,Sí,Auxiliar administrativo ,7-8 horas,5-6 días,"$5,001 - $10,000",Sí,Hijo(a),Local,,,,,,,,,Madre,5-6 personas,Taxi,Cocinar en casa,$501 - $700,,Sí,No,2 veces al día,A veces,A veces,"Sí, 1 vez al día",2 veces al día,1-2 veces a la semana,A veces,Frecuentemente,Falta de tiempo,Satisfecho(a),Sí,No,No,No,No,Sí,No,No,Sí,No,No,Sí,No,Sí,No,No,90 - 100,No,No,
Ingeniería Industrial,Flexible,primero,19,Femenino,Soltero(a),Ciudad,Con madre,Sí,Madre,Hermanos(as),"$5,001 - $10,000","$501 - $1,000",No,,,,,,,Sí,Cafeteria,7-8 horas,3-4 días,"Menos de $5,000",No,,Local,,,,,,,,,Madre,1-2 personas,Motocicleta,Cocinar en casa,$301 - $500,,No,Sí,5 veces o más al día,Nunca,Frecuentemente,No,2 veces al día,3-4 veces a la semana,Nunca,Rara vez,Falta de tiempo,Neutral,No,No sé,Sí,Sí,No,Sí,No,No,No,,,,,,,,80 - 89,No,No,
Contabilidad,Flexible,tercero,21,Femenino,Soltero(a),Localidad,Con padres,Sí,Padre,Otros familiares,"Menos de $5,000",Menos de $500,No,,,,,,,Sí,Tienda de abarrotes,4-6 horas,5-6 días,"Menos de $5,000",No,,Foráneo,Viajas diariamente,,,,,$201 - $400,31-60 minutos,Carro particular,,,,Cocinar en casa,$301 - $500,,No,No estoy seguro(a),3 veces al día,Rara vez,Frecuentemente,"Sí, 1 vez al día",3 veces al día,Nunca,Frecuentemente,A veces,Falta de tiempo,Satisfecho(a),No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,90 - 100,No,No,
